2021-11-30 10:46:17,566 INFO Connecting to 127.0.0.1:7497 with clientId 1...
2021-11-30 10:46:17,567 INFO Connected
2021-11-30 10:46:17,570 INFO Logged on to server version 152
2021-11-30 10:46:17,603 INFO API connection ready
2021-11-30 10:46:17,604 INFO Warning 2104, reqId -1: Market data farm connection is OK:hfarm
2021-11-30 10:46:17,605 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm.nj
2021-11-30 10:46:17,605 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2021-11-30 10:46:17,606 INFO Warning 2104, reqId -1: Market data farm connection is OK:eufarm
2021-11-30 10:46:17,608 INFO Warning 2104, reqId -1: Market data farm connection is OK:jfarm
2021-11-30 10:46:17,608 INFO Warning 2104, reqId -1: Market data farm connection is OK:cashfarm
2021-11-30 10:46:17,609 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2021-11-30 10:46:17,609 INFO Warning 2106, reqId -1: HMDS data farm connection is OK:euhmds
2021-11-30 10:46:17,609 INFO Warning 2106, reqId -1: HMDS data farm connection is OK:fundfarm
2021-11-30 10:46:17,609 INFO Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2021-11-30 10:46:17,610 INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2021-11-30 10:46:17,624 INFO updatePortfolio: PortfolioItem(contract=Stock(conId=265598, symbol='AAPL', right='0', primaryExchange='NASDAQ', currency='USD', localSymbol='AAPL', tradingClass='NMS'), position=6.0, marketPrice=160.6000061, marketValue=963.6, averageCost=160.21, unrealizedPNL=2.34, realizedPNL=0.0, account='DU4758041')
2021-11-30 10:46:17,624 INFO updatePortfolio: PortfolioItem(contract=Stock(conId=506993770, symbol='ADGI', right='0', primaryExchange='NASDAQ', currency='USD', localSymbol='ADGI', tradingClass='NMS'), position=4220.0, marketPrice=45.4300003, marketValue=191714.6, averageCost=40.3300237, unrealizedPNL=21521.9, realizedPNL=0.0, account='DU4758041')
2021-11-30 10:46:17,625 INFO updatePortfolio: PortfolioItem(contract=Stock(conId=520354990, symbol='BFRI', right='0', primaryExchange='NASDAQ', currency='USD', localSymbol='BFRI', tradingClass='SCM'), position=4219.0, marketPrice=6.8800001, marketValue=29026.72, averageCost=9.36206565, unrealizedPNL=-10471.83, realizedPNL=0.0, account='DU4758041')
2021-11-30 10:46:17,625 INFO updatePortfolio: PortfolioItem(contract=Stock(conId=15124833, symbol='NFLX', right='0', primaryExchange='NASDAQ', currency='USD', localSymbol='NFLX', tradingClass='NMS'), position=1.0, marketPrice=664.0, marketValue=664.0, averageCost=666.95, unrealizedPNL=-2.95, realizedPNL=0.0, account='DU4758041')
2021-11-30 10:46:17,626 INFO position: Position(account='DU4758041', contract=Stock(conId=506993770, symbol='ADGI', exchange='NASDAQ', currency='USD', localSymbol='ADGI', tradingClass='NMS'), position=4220.0, avgCost=40.3300237)
2021-11-30 10:46:17,626 INFO position: Position(account='DU4758041', contract=Stock(conId=15124833, symbol='NFLX', exchange='NASDAQ', currency='USD', localSymbol='NFLX', tradingClass='NMS'), position=1.0, avgCost=666.95)
2021-11-30 10:46:17,627 INFO position: Position(account='DU4758041', contract=Stock(conId=265598, symbol='AAPL', exchange='NASDAQ', currency='USD', localSymbol='AAPL', tradingClass='NMS'), position=6.0, avgCost=160.21)
2021-11-30 10:46:17,627 INFO position: Position(account='DU4758041', contract=Stock(conId=520354990, symbol='BFRI', exchange='NASDAQ', currency='USD', localSymbol='BFRI', tradingClass='SCM'), position=4219.0, avgCost=9.36206565)
2021-11-30 10:46:17,637 INFO Synchronization complete
2021-11-30 10:46:18,489 INFO Warning 165, reqId 111: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:18,490 ERROR Error 162, reqId 111: Historical Market Data Service error message:API scanner subscription cancelled: 111
2021-11-30 10:46:19,176 INFO Warning 165, reqId 112: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:19,177 ERROR Error 162, reqId 112: Historical Market Data Service error message:API scanner subscription cancelled: 112
2021-11-30 10:46:19,730 INFO Warning 165, reqId 113: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:19,733 ERROR Error 162, reqId 113: Historical Market Data Service error message:API scanner subscription cancelled: 113
2021-11-30 10:46:20,343 INFO Warning 165, reqId 114: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:20,345 ERROR Error 162, reqId 114: Historical Market Data Service error message:API scanner subscription cancelled: 114
2021-11-30 10:46:20,958 INFO Warning 165, reqId 115: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:20,959 ERROR Error 162, reqId 115: Historical Market Data Service error message:API scanner subscription cancelled: 115
2021-11-30 10:46:21,506 INFO Warning 165, reqId 116: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:21,506 ERROR Error 162, reqId 116: Historical Market Data Service error message:API scanner subscription cancelled: 116
2021-11-30 10:46:22,080 INFO Warning 165, reqId 117: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:22,081 ERROR Error 162, reqId 117: Historical Market Data Service error message:API scanner subscription cancelled: 117
